Name,Location,Twitter
Perth Police Station ,"['2 Fitzgerald Street, (corner of Roe Street) Northbridge WA 6003']",['@PerthPol']
Wembley Police Station,"['188 Salvado Road, Wembley WA 6014']",['@WembleyPol']
Ballajura Police Station,"['37 Cassowary Drive, Ballajura 6066']",['BallajuraPol']
Ellenbrook Police Station ,"['2 Civic Terrace, Ellenbrook 6069']",['@EllenbrookPol']
Forrestfield Police Station,"['40 Strelitzia Avenue, Forrestfield 6058']",['@ForrestfieldPol']
Kiara Police Station,"['163 Morley Drive East, Kiara 6054']",['@KiaraPol']
Midland Police Station ,"['32 Spring Park Road, Midland 6056']",['@MidlandPol']
Mundaring Police Station,"['7250 Great Eastern Highway, Mundaring 6073']",['@MundaringPol']
Clarkson Police Station,"['14 Ocean Keys Boulevard, Clarkson 6030']",['@ClarksonPolice']
Hillarys Police Station,"['114 Flinders Avenue, Hillarys 6025']",['@HillarysPolice']
Joondalup Police Station ,"['9 Reid Promenade, Joondalup 6027']",['@JoondalupPolice']
Wanneroo Police Station,"['51 Dundebar Road, Sinagra 6065']",['@WannerooPolice']
Warwick Police Station,"['37 Eddington Road, Warwick 6024']",['@WarwickPol']
Yanchep Police Station,"['110 Yanchep Beach Road, Yanchep 6035']",['@Yanchep_Police']
Bayswater Police Station,"['73-77 Whatley Crescent, Bayswater 6053']",['@BayswaterPol']
Mirrabooka Police Station ,"['50 Chesterfield Road, Mirrabooka 6061']",['@MirrabookaPol']
Morley Police Station,"['318 Coode Street, DIANELLA 6059']",['@MorleyPol']
Scarborough Police Station,"['92 Scarborough Beach Road, Scarborough 6019']",['@ScarboroughPol']
Cockburn Police Station ,"['34 Linkage Ave, Cockburn Central 6164']",['@CockburnPol']
Fremantle Police Station ,"['88 High Street, Fremantle 6160']",['@FremantlePol']
Murdoch Police Station,"['120 Murdoch Drive, Murdoch 6150']",['@MurdochPol']
Palmyra Police Station,"['349 Canning Highway, Palmyra 6157']",['@PalmyraPol']
Rottnest Police Station,"['1 Somerville Drive, Rottnest Island 6161']",['@RottnestPol']
Dwellingup Police Station,"['55 McLarty Street, Dwellingup WA 6213']",['@DwellingupPol']
Kwinana Police Station,"['2 Sulphur Road, Kwinana Town Centre 6167']",['@KwinanaPol']
Mandurah Police Station ,"['333 Pinjarra Road, Mandurah WA 6210']",['@MandurahPol']
Pinjarra Police Station,"['24 George Street, Pinjarra WA 6208']",['@PinjarraPol']
Rockingham Police Station,"['21-23 Whitfield Street, Rockingham 6168']",['@RockinghamPol']
Armadale Police Station ,"['23 Prospect Road, Armadale 6112']",['@ArmadalePolice']
Canning Vale Police Station,"['449 Nicholson Road, Canning Vale 6155']",['@CanningValePol']
Gosnells Police Station,"['2291 Albany Highway, Gosnells 6110']",['@GosnellsPol']
Mundijong Police Station,"['1445 Mundijong Road, Mundijong WA 6123']",['@MundijongPol']
Cannington Police Station ,"['1325 Albany Highway, Cannington 6107']",['@Cannington_Pol']
Belmont Police Station,"['273 Abernethy Road, Cloverdale 6105']",['@BelmontPol']
Kensington Police Station,"['25 George Street, Kensington 6151']",['@KensingtonPol']
Blackstone MFPF,"['Lot 123, Papulankutja Road East, Ngaanyatjarra-Giles WA 0872']",['@NGLandsPol']
Coolgardie Police Station,"['61 Sylvester Street, Coolgardie WA 6429']",['@CoolgardiePol']
Esperance Police Station,"['100-102 Dempster Street, Esperance WA 6450']",['@EsperancePol']
